time,Naive T-cells,helper T-cells,cytotoxic cells,Treg-cells,Naive Dendritic cells,Dendritic cells,Macrophages,Cancer,Necrotic cells,\mu_1,\mu_2,HMGB1,IFN-\gamma,TNF-eta
0.0,1.058843692818089,0.9126372821591608,0.12251610130469895,1.2714472171844098,0.000618845186513137,0.9435826108085305,0.7878326110746651,0.0003146626469825054,0.0,0.9826704971950226,8.40968536970101,0.6514308066210245,0.6521683507537559,0.2697239732818065
1.0,1.2133723948207342,0.7646958260182044,0.7456512198615082,1.1131387564358013,0.8147810698852933,0.736542413260001,0.790589545073837,0.00031627771499398194,1.2687963748868856e-06,0.8583853867502164,0.9624250489466442,0.02820494126731405,0.7465362262515554,0.8449164762995827
2.0,2.722006431829291,0.2803960352341758,0.5391798114666307,1.2547591886335872,2.6785135445719392,0.11403773507189562,0.7501462644472279,0.0003171937114657614,3.189469627117012e-06,0.6671258419193655,0.8098955861267888,0.024648024480042025,0.49277377075254825,0.8351348857226365
3.0,3.257594941485726,0.3121215248183365,0.7313099510886765,1.3645445831753091,2.893098498298426,0.10247550443403271,0.7436674883775443,0.00031862142686515406,4.748012365349678e-06,0.6908638201819882,0.8138124804973642,0.025451289557202918,0.6194267976495064,0.8481780506717768
4.0,3.6536487276532847,0.3036230915633794,0.7424100518073047,1.5354091725311592,3.052801994100038,0.09512605876030909,0.7375965394185254,0.00031999113624205826,6.4211988174114885e-06,0.6955501856818633,0.8355721135044906,0.025727129564492825,0.6249136122025756,0.871904936318206
5.0,3.9821994464925092,0.2916860263130572,0.7179536825419026,1.6873984860453555,3.171926771737105,0.09048142051183751,0.7314051154141862,0.0003213730067514557,8.081686702569926e-06,0.6927868219327653,0.8557597885331585,0.02583338087793374,0.6062989538886867,0.8923591874408349
6.0,4.257858581138075,0.2833271290838351,0.6981602070329004,1.8203606633651128,3.260810480933733,0.08763840376913845,0.7251302506512893,0.0003227694168149242,9.718175013760243e-06,0.687536093347603,0.8727190289456297,0.02591918296304772,0.5912807899830894,0.9095376907157584
7.0,4.486537295993683,0.2774920910558956,0.682366453890341,1.9385002969969436,3.327108973084367,0.08599866438496957,0.7188516673759386,0.0003241754389104247,1.1335748005167221e-05,0.6815946989177198,0.887215033930116,0.025990859451416545,0.5793764950165136,0.9242160661605863
8.0,4.674291481131306,0.2732527271397294,0.6689561584243809,2.0431478271356607,3.3765517071845865,0.08514426230704417,0.7126190170940627,0.00032558880409873044,1.2937327899823003e-05,0.6755493173758128,0.8995625594557772,0.026044022715219543,0.5693490049994747,0.9366602160346595
9.0,4.827150749876629,0.2700744878546666,0.6573399351441005,2.134962135554402,3.4134278414506753,0.08478437453981265,0.7064629308246537,0.0003270084416726725,1.452461806497125e-05,0.6695829544725803,0.909893173967435,0.026076842147204588,0.5606962664647049,0.9470066311394981
