time,Naive T-cells,helper T-cells,cytotoxic cells,Treg-cells,Naive Dendritic cells,Dendritic cells,Macrophages,Cancer,Necrotic cells,\mu_1,\mu_2,HMGB1,IFN-\gamma,TNF-eta
0.0,0.97046806629836,1.1932698446906584,0.274074341897512,1.9541630886805204,0.000618845186513137,1.4902632757963403,0.4584153652812034,0.0003146626469825054,0.0,0.4472573271181775,1.4927628978188376,1.0740646769267923,0.0446827624516892,1.538782378527863
1.0,0.9587021158382144,0.7690149755374559,0.5460934789429536,1.673471941712682,0.8917213369117064,1.1306641828324213,0.4783590588915145,0.00031596655588156446,1.3758165434246962e-06,0.4880210844535122,0.7159679541911754,0.02136893211822577,0.5956182965305468,0.6796871145266191
2.0,1.10873406449771,0.7514531416716977,0.6482456195516108,1.4871895851836638,1.5595026803355747,0.8626446800554551,0.49369313419478933,0.0003172543686293945,2.8227160029354466e-06,0.5053112304862956,0.6736387056051851,0.021465122627481036,0.6532061492490472,0.6610105776874676
3.0,1.2833208145893473,0.7053657026744691,0.7155754881815029,1.4353274232796105,2.0596051936194772,0.6625232365413495,0.5075708025021394,0.00031849421589468175,4.370097740775789e-06,0.517201550305389,0.6640554946518622,0.021641743774792808,0.6842125365507309,0.6637899377559034
4.0,1.4879690291541325,0.6383977556811491,0.7374000090693016,1.4456324227761723,2.4341080950889995,0.5131195917410278,0.5191409487274488,0.0003197161677557568,5.9636427786394065e-06,0.5245772866999843,0.6671721304892796,0.02169084669300743,0.6815840322853531,0.6751376094244602
5.0,1.7220484301127565,0.570063857612388,0.7362101095216728,1.4841213745280646,2.714608412054181,0.40156152443681187,0.5282110746095983,0.00032094189921482043,7.563818130364641e-06,0.528614316571552,0.6754097777195998,0.021678358211022385,0.6640918335310243,0.6891595089770444
6.0,1.9815897615311333,0.5079362215864839,0.7246100496233355,1.5365932243395588,2.9247444631540906,0.31824601450949064,0.5349892828364033,0.00032218064899780134,9.152122482364239e-06,0.5304229997315183,0.6856487135059314,0.021645574954502565,0.6415512503142492,0.7036328058402618
7.0,2.261932297069161,0.4541441972806211,0.7085051497650643,1.596757673140813,3.082193234455089,0.25601352162137425,0.5397982993544624,0.0003234358392770898,1.072051693106997e-05,0.5307557841125391,0.6965918570407601,0.021611399960082475,0.6182022212083493,0.7177647984196847
8.0,2.557947604501357,0.40882015047696413,0.6908878312070962,1.6618864112360492,3.200175009765517,0.2095261928636365,0.5429689688542898,0.00032470823117553547,1.226604630161204e-05,0.5300922180941409,0.7077308969948379,0.021586081663499488,0.5959552883458815,0.7313703693025516
9.0,2.8640229175807144,0.3713283157183658,0.6733415760303381,1.7309805944833463,3.288577586414484,0.17480434234224268,0.5448046332717915,0.0003259972543656645,1.378842988047373e-05,0.5287457414016032,0.7189304043278019,0.021575907805811406,0.5756484616256936,0.7445332341949964
